figure,seed,horizon,metric,seq_rc,return_rc,delta_return_minus_seq
fig_horizon_delta,0,2,lpips,0.18630553968250751,0.1890548225492239,0.002749282866716385
fig_horizon_delta,0,2,mse,0.012095585116185248,0.012289156031329185,0.00019357091514393687
fig_horizon_delta,0,2,psnr,20.218026399612427,20.0808527469635,-0.13717365264892578
fig_horizon_delta,0,2,ssim,0.7698255330324173,0.7660218551754951,-0.0038036778569221497
fig_horizon_delta,1,2,lpips,0.19146210514009,0.19073566235601902,-0.0007264427840709686
fig_horizon_delta,1,2,mse,0.012877933564595878,0.0132512126583606,0.00037327909376472235
fig_horizon_delta,1,2,psnr,19.929363131523132,19.860368967056274,-0.06899416446685791
fig_horizon_delta,1,2,ssim,0.7648941427469254,0.7632100507616997,-0.0016840919852256775
fig_horizon_delta,2,2,lpips,0.1942438744008541,0.1871035061776638,-0.007140368223190308
fig_horizon_delta,2,2,mse,0.012978474842384458,0.012146621535066515,-0.0008318533073179424
fig_horizon_delta,2,2,psnr,19.849523067474365,20.21052312850952,0.36100006103515625
fig_horizon_delta,2,2,ssim,0.7617494240403175,0.7695695459842682,0.007820121943950653
fig_horizon_delta,3,2,lpips,0.1950616668909788,0.19058749824762344,-0.00447416864335537
fig_horizon_delta,3,2,mse,0.013519199681468308,0.012839588103815913,-0.0006796115776523948
fig_horizon_delta,3,2,psnr,19.709494471549988,19.953519105911255,0.2440246343612671
fig_horizon_delta,3,2,ssim,0.7579341754317284,0.7642205134034157,0.006286337971687317
fig_horizon_delta,4,2,lpips,0.19831803068518639,0.19990899972617626,0.0015909690409898758
fig_horizon_delta,4,2,mse,0.013705526303965598,0.014685482950881124,0.0009799566469155252
fig_horizon_delta,4,2,psnr,19.633384704589844,19.454334139823914,-0.17905056476593018
fig_horizon_delta,4,2,ssim,0.7522109597921371,0.7495698407292366,-0.002641119062900543
fig_horizon_delta,0,3,lpips,0.18989618122577667,0.19421016797423363,0.004313986748456955
fig_horizon_delta,0,3,mse,0.012132712930906564,0.012551856925711036,0.00041914399480447173
fig_horizon_delta,0,3,psnr,20.193830847740173,19.983495712280273,-0.2103351354598999
fig_horizon_delta,0,3,ssim,0.7614848837256432,0.7555799186229706,-0.005904965102672577
fig_horizon_delta,1,3,lpips,0.1964354394003749,0.19348802883177996,-0.0029474105685949326
fig_horizon_delta,1,3,mse,0.013147781690349802,0.01308195834280923,-6.582334754057229e-05
fig_horizon_delta,1,3,psnr,19.844544172286987,19.932971715927124,0.08842754364013672
fig_horizon_delta,1,3,ssim,0.7528738081455231,0.7565666735172272,0.0036928653717041016
fig_horizon_delta,2,3,lpips,0.19905013777315617,0.19127332046627998,-0.0077768173068761826
fig_horizon_delta,2,3,mse,0.013423203607089818,0.012484974693506956,-0.0009382289135828614
fig_horizon_delta,2,3,psnr,19.71048378944397,20.132444143295288,0.42196035385131836
fig_horizon_delta,2,3,ssim,0.7513036876916885,0.7602098807692528,0.00890619307756424
fig_horizon_delta,3,3,lpips,0.19770968053489923,0.192361768335104,-0.005347912199795246
fig_horizon_delta,3,3,mse,0.0136710160295479,0.012818172050174326,-0.0008528439793735743
fig_horizon_delta,3,3,psnr,19.66909432411194,19.96365976333618,0.29456543922424316
fig_horizon_delta,3,3,ssim,0.7498435601592064,0.7582422569394112,0.008398696780204773
fig_horizon_delta,4,3,lpips,0.20089936815202236,0.20160027407109737,0.0007009059190750122
fig_horizon_delta,4,3,mse,0.013936507399193943,0.014475992356892675,0.0005394849576987326
fig_horizon_delta,4,3,psnr,19.60495162010193,19.566935062408447,-0.038016557693481445
fig_horizon_delta,4,3,ssim,0.745315432548523,0.7444040328264236,-0.0009113997220993042
fig_horizon_delta,0,4,lpips,0.18968898709863424,0.19442797265946865,0.004738985560834408
fig_horizon_delta,0,4,mse,0.011821952910395339,0.01243547783815302,0.0006135249277576804
fig_horizon_delta,0,4,psnr,20.344547271728516,20.097180128097534,-0.24736714363098145
fig_horizon_delta,0,4,ssim,0.7647285163402557,0.7584578916430473,-0.0062706246972084045
