figure,panel_metric,arm,run_index,step,value
fig_msp_learning_curves,eval_lpips,Seq raw,0,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq raw,0,10,0.21076797166218358
fig_msp_learning_curves,eval_lpips,Seq raw,0,20,0.20145230212559304
fig_msp_learning_curves,eval_lpips,Seq raw,0,30,0.2180073627581199
fig_msp_learning_curves,eval_lpips,Seq raw,1,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq raw,1,10,0.21453498676419258
fig_msp_learning_curves,eval_lpips,Seq raw,1,20,0.2092324843009313
fig_msp_learning_curves,eval_lpips,Seq raw,1,30,0.2101500229910016
fig_msp_learning_curves,eval_lpips,Seq raw,2,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq raw,2,10,0.21067985178281862
fig_msp_learning_curves,eval_lpips,Seq raw,2,20,0.20728878537192938
fig_msp_learning_curves,eval_lpips,Seq raw,2,30,0.20632844061280292
fig_msp_learning_curves,eval_lpips,Seq raw,3,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq raw,3,10,0.20804262440651655
fig_msp_learning_curves,eval_lpips,Seq raw,3,20,0.20608111113930744
fig_msp_learning_curves,eval_lpips,Seq raw,3,30,0.20086948185538253
fig_msp_learning_curves,eval_lpips,Seq raw,4,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq raw,4,10,0.21850321472932893
fig_msp_learning_curves,eval_lpips,Seq raw,4,20,0.21344699400166672
fig_msp_learning_curves,eval_lpips,Seq raw,4,30,0.2057873128602902
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),0,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),0,10,0.21011196092392007
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),0,20,0.2002717324843009
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),0,30,0.19387606624513867
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),1,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),1,10,0.20809583319351077
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),1,20,0.205079745190839
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),1,30,0.20191467522333065
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),2,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),2,10,0.21052634219328564
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),2,20,0.2083033745487531
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),2,30,0.20325022252897423
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),3,0,0.21570572862401605
fig_msp_learning_curves,eval_lpips,Seq RC (Ours),3,10,0.20869790778184932
